"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/07/04 12:25:32 AM GMT-3","Computación-Costa","Muy Bueno","Sí","Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2017/07/04 12:35:29 AM GMT-3","Teoría de la Programación / Teoría del Lenguaje - Wachenchauzer","Muy Bueno","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","La materia me gustó mucho. Me parece que los temas son interesantes, están bien encarados, y que las clases están muy bien dadas."
"2017/07/04 1:15:14 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Muy dificil",""
"2017/07/04 2:24:52 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Dificil",""
"2017/07/04 6:12:17 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Normal","Normal",""
"2017/07/04 6:27:28 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Muy Buenas","Dificil","Muy dificil",""
"2017/07/04 7:11:04 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Dificil","Dificil",""
"2017/07/04 8:02:51 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Buenas","Normal","Normal","Un kpo Martín"
"2017/07/04 8:20:22 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Dificil","Dificil",""
"2017/07/04 10:19:39 AM GMT-3","Algoritmos y Programación 1 (Electrónica) - Cardozo","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","Los docentes responden preguntas todo el tiempo, excelente curso."
"2017/07/04 10:32:21 AM GMT-3","Computación-Costa","Excelente","Sí","Muy Interesantes","No","Buenas","Excelentes","Normal","Dificil","La parte práctica resultó entretenida, los profesores le ponen buena onda lo cual hace llevadera la cursada. Quizás está un poco desactualizado por el hecho de que enseñan pascal, pero es bueno para incentivar a aquellos que se interesan en la programación y quieren seguir aprendiendo más de estos temas."
